appId,appName,rank,cateId,cateName,tradeId,tradeName,developCompanyId,developCompanyAbbr,developCompanyFullName,monthActiveNums,monthActiveNumsRatio,dayActiveNums,dayActiveNumsRatio,status,statDateStr,monthStatDate,dayStatDate
5921402,求生之王,1856,314,射击,3141044,FPS(第一人称射击游戏),,,,55.41651362,0.17118362124187425,,,1,,1543593600000,
5108354,看点小视频(com.perfect.video),1857,108,视频,1081090,短视频综合平台,50637,亚协,上海亚协网络科技有限公司,55.39604229,-0.07309661334750396,,,1,,1543593600000,
3044371,91y游戏中心,1858,318,TAB(桌面游戏),3181058,棋牌,3339,浮云,杭州浮云网络科技有限公司,55.3810069667,0.023216551091457715,,,1,,1543593600000,
6411539,游戏超人,1859,129,游戏媒体,1291075,游戏工具,33254,金山安全,北京金山安全软件有限公司,55.3593118,-0.020144814474813262,,,1,,1543593600000,
2566801,陕西信合,1860,122,金融,1251239,银行综合服务,,,,55.3592553933,0.005150068335735979,,,1,,1543593600000,
2996772,唯彩会,1861,122,金融,1221201,彩票服务,7994,唯彩会,广州唯彩会网络科技有限公司,55.2525048,0.03732579454951175,31.1732698602,0.040175594876107015,1,,1543593600000,1548691200000
2653799,史上最坑爹的游戏2,1862,319,休闲,3191061,益智,241,顶峰互动,珠海顶峰互动科技有限公司,55.1917430633,-0.010651861577101901,,,1,,1543593600000,
5996437,快读小说免费,1863,136,移动阅读,1361296,综合阅读,50615,丹林投资管理,上海丹林投资管理有限公司,55.1892631933,-0.1587193518174044,11.2225163332,0.00994558670000586,1,,1543593600000,1548691200000
2035581,格林豪泰,1864,106,旅游,1061066,酒店预订,7653,格林豪泰酒店,格林豪泰酒店中国有限公司,55.1814932933,0.08722978597360129,,,1,,1543593600000,
2586277,超星移动图书馆,1865,136,移动阅读,1251240,文库,6748,世纪超星,北京世纪超星信息技术发展有限责任公司,55.1477693133,-0.04878643015888679,,,1,,1543593600000,
2035187,金罗盘,1866,122,金融,1221200,证券服务应用,9117,证券,南京证券股份有限公司,55.13969631,0.009958117270831034,,,1,,1543593600000,
2646205,QQ五子棋,1867,318,TAB(桌面游戏),3181058,棋牌,1,腾讯科技,深圳市腾讯计算机系统有限公司,55.11096191,0.016187586070874612,,,1,,1543593600000,
2014231,会说话的安吉拉,1868,317,SIM(模拟游戏),3171055,模拟养成,5488,Outfit7 Ltd,Outfit7 Ltd,55.0990973533,-0.07051129125378004,,,1,,1543593600000,
2966140,360智能管家,1869,126,智能硬件,1261248,智能路由器,4,奇虎360,北京奇虎科技有限公司,55.0646362067,-0.04242946376795609,14.6876896309,0.27252455801229986,1,,1543593600000,1548691200000
3322986,菱菱邦,1870,123,汽车,1231208,汽车工具,12820,云漾,北京云漾信息科技有限公司,55.0257855967,0.031096035232320046,3.81735859907,-0.29483607694456143,1,,1543593600000,1548691200000
2032250,天翼阅读,1871,136,移动阅读,1361296,综合阅读,351,天翼传播,天翼阅读文化传播有限公司,55.00720117,-0.024976883988144807,,,1,,1543593600000,
4273175,老柚直播,1872,130,视频直播,1301261,娱乐直播,51182,老柚多汁互联网服务,北京老柚多汁互联网信息服务有限公司,54.9807627567,0.15329289233508966,18.6235999414,0.06879572073052488,1,,1543593600000,1548691200000
3039805,腾讯游戏助手,1873,129,游戏媒体,1291074,游戏资讯,1,腾讯科技,深圳市腾讯计算机系统有限公司,54.957796,-0.036359898035809746,,,1,,1543593600000,
2888918,掌上校园(com.hunaupalm),1874,101,教育,1011011,教育平台,11783,郑州单点,郑州单点科技软件有限公司,54.90950943,-0.035128728393822424,,,1,,1543593600000,
